,Video title,Comment,Processed_Comment
31,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Release date plz,release date plz
32,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Desperately waiting for this one ❤❤❤😍😍😍 vikrant is just amazing 😍😍😍😍❤❤,desperately waiting one vikrant amazing
33,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Abhi part 1 khtm kiya Netflix ji kya movie thi<br>Abhi part 2💀,abhi part khtm kiya netflix ji kya movie thibrabhi part
34,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Can’t wait omggggggggggg,cant wait omggggggggggg
35,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting waiting,waiting waiting
36,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Damnnnnn,damnnnnn
37,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Why harshvardhan missing,harshvardhan missing
38,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Vikrant bhai🫶🏻✨,vikrant bhai
39,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Waiting,waiting
40,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Harshvardhan Rane Is Missing 😢,harshvardhan rane missing
41,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",Story of Haseen dilruba movie is amazing and the suspense hidden in it can make anyone interested ❤❤❤,story haseen dilruba movie amazing suspense hidden make anyone interested
42,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",All okay but im definitely missing Harshvardhan Rane,okay im definitely missing harshvardhan rane
43,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India",The first part was a copy of &#39;A Lamb to Slaughter&#39; by &#39;Roald Dahl&#39;. Ab dusri original hogi ya wo bhi copy hogi?,first part copy lamb slaughter roald dahl ab dusri original hogi ya wo bhi copy hogi
44,"Phir Aayi Hasseen Dillruba | Announcement | Taapsee P, Vikrant M & Sunny K | Netflix India","Is this part 2, or a repeat?",part repeat
45,Ae Watan Mere Watan - Official Trailer | Prime Video India,Looks really promising but only thing not withstanding is Sara ali,look really promising thing withstanding sara ali
46,Ae Watan Mere Watan - Official Trailer | Prime Video India,Angrejo kaa raaj accha tha <br>Sahi hua tha vo aaye the agar vo naa aate aaj hum sab namaj padh re hote aur terrorism ka sabse bada production house india me chal raha hota,angrejo kaa raaj accha tha brsahi hua tha vo aaye agar vo naa aate aaj hum sab namaj padh hote aur terrorism ka sabse bada production house india chal raha hota
47,Ae Watan Mere Watan - Official Trailer | Prime Video India,Wow! Bahut kuch kaha Angrezon ka Sahara le kar 😂<br>Samajhne waale samajh gaye ...😅,wow bahut kuch kaha angrezon ka sahara le kar brsamajhne waale samajh gaye
48,Ae Watan Mere Watan - Official Trailer | Prime Video India,Ae Watan Mere Watan 🔥❤🔥,ae watan mere watan
49,Ae Watan Mere Watan - Official Trailer | Prime Video India,"Charkha Chala ke Azadi Nahin I Thi.....I Thi Bhagat Singh Khudiram Bose ,Netaji jasa mahan log aur Azad Hind Fauj ke liye",charkha chala ke azadi nahin thii thi bhagat singh khudiram bose netaji jasa mahan log aur azad hind fauj ke liye
50,Ae Watan Mere Watan - Official Trailer | Prime Video India,I would watch this movie to see if Sara&#39;s acting got any better.,would watch movie see saras acting got better
51,Ae Watan Mere Watan - Official Trailer | Prime Video India,Heroin galat choose kr liye,heroin galat choose kr liye
52,Ae Watan Mere Watan - Official Trailer | Prime Video India,Will watch it only for Emraan Hashmi,watch emraan hashmi
53,Ae Watan Mere Watan - Official Trailer | Prime Video India,bhai .. nahi hoo para raha hai tumse .. tumhare (Bollyowwd) lakshan bikul theek nahi lag rahe ..  rehne do bhai ... tumse naa ho payga ..,bhai nahi hoo para raha hai tumse tumhare bollyowwd lakshan bikul theek nahi lag rahe rehne bhai tumse naa ho payga
54,Ae Watan Mere Watan - Official Trailer | Prime Video India,I see Sara Ali Khan. I move on,see sara ali khan move
55,Ae Watan Mere Watan - Official Trailer | Prime Video India,"Wow!! Loving the patriotic feels!! Great going, Sara!!",wow loving patriotic feel great going sara
56,Ae Watan Mere Watan - Official Trailer | Prime Video India,Yr itna ganda actor hai yea sara ali khan. Same acting in every movie she doesn&#39;t deserve to do a 2min side role but this bloody creeps are making her heroine😢,yr itna ganda actor hai yea sara ali khan acting every movie doesnt deserve min side role bloody creep making heroine
58,Ae Watan Mere Watan - Official Trailer | Prime Video India,Deserve a theatre releass,deserve theatre releass
59,Ae Watan Mere Watan - Official Trailer | Prime Video India,Hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love you guys❤,hum likh kar de rahe hain ye movie ek chutiya movie sabit hogi love guy
60,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Ab in logoon ko akal aayi ki YouTube pr upload krne se kitna fayda hoga aur kitna boost milega 😂😂😂😂,ab logoon ko akal aayi ki youtube pr upload krne se kitna fayda hoga aur kitna boost milega
62,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",JHARKHAND se kon kon movie dekh rhe ho like kare,jharkhand se kon kon movie dekh rhe ho like kare
63,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Need sequel,need sequel
64,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Kis kis ko bina search  kiye movie mili h 😊😊,ki ki ko bina search kiye movie mili h
65,"Attack | John Abraham, Jacqueline Fernandez, Rakul Preet Singh | Bollywood Action Movie",Problem is india never do any bad work.and Pakistan always  attack u.,problem india never bad workand pakistan always attack u
